Framingham State University,"$10,317 ","$16,640 ","$12,126 ","$28,766 "
Franciscan University of Steubenville,"$27,487 ",,"$8,736 ","$36,223 "
Franklin and Marshall College,"$56,451 ",,"$14,132 ","$70,583 "
Franklin Pierce University,"$36,395 ",,"$13,605 ","$50,000 "
Gallaudet University,"$17,220 ",,"$14,294 ","$31,514 "
Geneva College,"$27,113 ",,"$10,317 ","$37,430 "
George Mason University,"$12,193 ","$35,537 ","$11,326 ","$46,863 "
George Washington University,"$55,572 ",,"$13,520 ","$69,092 "
Georgetown University,"$54,392 ",,"$16,182 ","$70,574 "
Georgia Institute of Technology,"$12,915 ","$34,335 ","$11,952 ","$46,287 "
Georgia State University,"$11,292 ","$30,609 ","$9,932 ","$40,541 "
Gettysburg College,"$54,746 ",,"$13,073 ","$67,819 "
Gonzaga University,"$42,983 ",,"$12,012 ","$54,995 "
Goodwin College,"$20,798 ",,$0 ,"$20,798 "
Gordon College,"$38,210 ",,"$11,440 ","$49,650 "
Goucher College,"$46,959 ",,"$14,690 ","$61,649 "
Grace College,"$23,525 ",,"$6,945 ","$30,470 "
Green Mountain College,"$38,482 ",,"$12,191 ","$50,673 "
Grove City College,"$17,944 ",,"$9,776 ","$27,720 "
Hamilton College,"$54,881 ",,"$13,936 ","$68,817 "
Hampshire College,"$53,672 ",,"$14,150 ","$67,822 "
Hampton University,"$26,460 ",,"$11,667 ","$38,127 "
Hartwick College,"$45,899 ",,"$9,457 ","$55,356 "
Harvard University,"$50,907 ",,"$17,326 ","$68,233 "
Haverford College,"$55,176 ",,"$16,596 ","$71,772 "
Hellenic College,"$23,286 ",,"$16,840 ","$40,126 "
High Point University,"$35,365 ",,"$13,884 ","$49,249 "
Hobart and William Smith Colleges,"$55,666 ",,"$14,066 ","$69,732 "
Hofstra University,"$49,254 ",,"$14,310 ","$63,564 "
Hood College,"$39,478 ",,"$13,083 ","$52,561 "
Houghton College,"$32,802 ",,"$9,379 ","$42,181 "
Howard University,"$27,675 ",,"$14,242 ","$41,917 "
Husson University,"$18,263 ",,"$9,878 ","$28,141 "
Indiana University Pennsylvania,"$12,632 ","$24,185 ","$12,405 ","$36,590 "
Indiana University-Bloomington,"$10,955 ","$36,240 ","$10,668 ","$46,908 "
Iona College,"$39,189 ",,"$15,425 ","$54,614 "
Ithaca College,"$44,599 ",,"$15,885 ","$60,484 "
Jacksonville University,"$36,670 ",,"$14,248 ","$50,918 "
James Madison University,"$11,313 ","$28,369 ","$10,294 ","$38,663 "
John Brown University,"$27,190 ",,"$9,402 ","$36,592 "
Johns Hopkins University,"$54,257 ",,"$16,403 ","$70,660 "
"Johnson & Wales University, Denver","$32,404 ",,"$13,016 ","$45,420 "
"Johnson & Wales University, Providence","$32,404 ",,"$13,016 ","$45,420 "
Johnson State College,"$12,557 ","$26,410 ","$11,022 ","$37,432 "
Julliard,"$44,897 ",,"$15,995 ","$60,892 "
Juniata College,"$45,630 ",,"$12,522 ","$58,152 "
Kalamazoo College,"$48,560 ",,"$9,766 ","$58,326 "
"Kansas State University, Manhattan","$9,898 ","$24,781 ","$9,807 ","$34,588 "
Keene State College,"$14,423 ","$23,519 ","$11,165 ","$34,684 "
Kenyon College,"$55,702 ",,"$12,771 ","$68,473 "
Keuka College,"$32,184 ",,"$11,910 ","$44,094 "
Knox College,"$46,756 ",,"$10,084 ","$56,840 "
La Salle University,"$30,784 ",,"$16,132 ","$46,916 "
Lafayette College,"$52,884 ",,"$15,642 ","$68,526 "
Lake Forest College,"$47,370 ",,"$10,454 ","$57,824 "
Lasell College,"$35,984 ",,"$15,392 ","$51,376 "
Lebanon Valley College,"$43,867 ",,"$11,918 ","$55,785 "
Lehigh University,"$52,541 ",,"$13,645 ","$66,186 "
LeMoyne College,"$35,261 ",,"$13,936 ","$49,197 "
Lesley University,"$27,695 ",,"$16,380 ","$44,075 "
LeTourneau University,"$30,493 ",,"$10,265 ","$40,758 "
Lewis & Clark College,"$50,948 ",,"$12,580 ","$63,528 "
Liberty University,"$24,898 ",,"$8,580 ","$33,478 "
"Long Island University, Brooklyn Campus","$40,942 ",,"$14,269 ","$55,211 "
"Long Island University, Brookville (LIU Post)","$38,354 ",,"$9,412 ","$47,766 "
"Loyola Marymount University, Los Angeles","$47,894 ",,"$14,825 ","$62,719 "
"Loyola University, Chicago","$44,296 ",,"$15,340 ","$59,636 "
"Loyola University, Maryland","$49,462 ",,"$16,266 ","$65,728 "
"Loyola University, New Orleans","$41,072 ",,"$13,173 ","$54,245 "
Lynchburg College,"$38,189 ",,"$10,691 ","$48,880 "
Lyndon State College,"$12,199 ","$24,854 ","$10,702 ","$35,556 "
Macalester College,"$54,563 ",,"$12,139 ","$66,702 "
Maine College of Art,"$35,360 ",,"$12,366 ","$47,726 "
Maine Maritime Academy,"$13,809 ","$27,693 ","$10,514 ","$38,207 "
Manhattan College,"$43,068 ",,"$16,224 ","$59,292 "
Manhattanville College,"$39,426 ",,"$15,101 ","$54,527 "
Marietta College,"$37,482 ",,"$11,773 ","$49,255 "
Marist College,"$38,251 ",,"$15,704 ","$53,955 "
Marlboro College,"$42,042 ",,"$12,407 ","$54,449 "
Marquette University,"$41,496 ",,"$12,366 ","$53,862 "
Maryland Institute College of Art,"$47,102 ",,"$8,954 ","$56,056 "
Marymount Manhattan College,"$33,228 ",,"$17,056 ","$50,284 "
Marymount University,"$31,643 ",,"$12,709 ","$44,352 "
Marywood University,"$34,518 ",,"$14,141 ","$48,659 "
Mass College of Pharmacy & HS,"$33,894 ",,"$17,081 ","$50,975 "
Massachusetts College of Art and Design,"$13,208 ","$35,776 ","$14,040 ","$49,816 "
Massachusetts College of Liberal Arts,"$10,478 ","$19,781 ","$11,033 ","$30,814 "
Massachusetts Institute of Technology,"$51,888 ",,"$15,309 ","$67,197 "
Massachusetts Maritime Academy,"$8,715 ","$19,906 ","$12,798 ","$32,704 "
Mercyhurst University,"$37,773 ",,"$13,125 ","$50,898 "
Merrimack College,"$41,798 ",,"$15,834 ","$57,632 "
Messiah College,"$35,526 ",,"$10,629 ","$46,155 "
Methodist University,"$34,403 ",,"$13,265 ","$47,668 "
Miami University,"$15,572 ","$35,595 ","$13,730 ","$49,325 "
Michigan State University,"$15,097 ","$41,039 ","$10,427 ","$51,466 "
Middlebury College,"$54,596 ",,"$15,567 ","$70,163 "
Mills College,"$31,467 ",,"$13,986 ","$45,453 "
Misericordia University,"$32,926 ",,"$14,092 ","$47,018 "
Mississippi State University,"$8,651 ","$23,252 ","$9,999 ","$33,251 "
Mitchell College,"$33,740 ",,"$13,260 ","$47,000 "
MolloyåÊCollege,"$31,075 ",,"$13,980 ","$45,055 "
Monmouth University,"$38,201 ",,"$15,756 ","$53,957 "
Monroe College,"$15,575 ",,"$10,535 ","$26,110 "
Montserrat College of Art,"$33,280 ",,"$9,880 ","$43,160 "
Morehouse College,"$28,538 ","$18,677 ","$13,976 ","$32,653 "
Morrisville State College,"$8,641 ",,"$13,768 ","$22,409 "
Mount Holyoke College,"$49,858 ",,"$14,622 ","$64,480 "
Mount Ida College,"$37,149 ",,"$14,227 ","$51,376 "
Muhlenberg College,"$52,863 ",,"$11,752 ","$64,615 "
National Technical Institute for the Deaf - RIT,"$16,944 ",,"$13,173 ","$30,117 "
Nazareth College of Rochester,"$34,657 ",,"$13,946 ","$48,603 "
New England College,"$38,432 ",,"$14,429 ","$52,861 "
New England Conservatory of Music,"$49,369 ",,"$16,328 ","$65,697 "
New England Institute of Technology,"$28,080 ",,"$17,555 ","$45,635 "
New England School of Communications,"$18,263 ",,"$9,878 ","$28,141 "
New Hampshire Institute of Art,"$27,955 ",,"$11,606 ","$39,561 "
New York University,"$52,483 ",,"$18,371 ","$70,854 "
Newbury College,"$35,849 ",,"$15,080 ","$50,929 "
Niagara University,"$33,228 ",,"$13,468 ","$46,696 "
Nichols College,"$35,360 ",,"$14,352 ","$49,712 "
Norfolk State University,"$9,397 ","$22,088 ","$10,358 ","$32,446 "
North Carolina State University,"$9,420 ","$28,502 ","$11,288 ","$39,790 "
Northeastern University,"$51,477 ",,"$16,890 ","$68,367 "
Northern Arizona University,"$11,501 ","$25,835 ","$10,342 ","$36,177 "
Northpoint Bible College,"$12,536 ",,"$9,225 ","$21,761 "
Northwestern University,"$54,785 ",,"$16,689 ","$71,474 "
Norwich University,"$40,205 ",,"$13,907 ","$54,112 "
Nova Southeastern University,"$31,075 ",,"$10,639 ","$41,714 "
Nyack College,"$26,520 ",,"$9,828 ","$36,348 "
Oakwood University,"$18,085 ",,"$10,071 ","$28,156 "
Oberlin College,"$55,650 ",,"$16,496 ","$72,146 "
Ohio Northern University,"$32,230 ",,"$11,721 ","$43,951 "
Ohio State University,"$11,015 ","$30,883 ","$12,742 ","$43,625 "
Ohio University,"$12,372 ","$22,214 ","$13,116 ","$35,330 "
Ohio Wesleyan University,"$46,478 ",,"$12,428 ","$58,906 "
Oxford College of Emory University,"$50,442 ",,"$13,044 ","$63,486 "
Pace University,"$45,745 ",,"$19,282 ","$65,027 "
Palm Beach Atlantic University,"$30,690 ",,"$10,046 ","$40,736 "
Patrick Henry College,"$29,039 ",,"$11,157 ","$40,196 "
"Pennsylvania State University, University Park","$18,113 ","$33,950 ","$11,731 ","$45,681 "
Pepperdine University,"$54,072 ",,"$15,465 ","$69,537 "
Pine Manor College,"$32,406 ",,"$13,967 ","$46,373 "
Pitzer College,"$54,325 ",,"$16,915 ","$71,240 "
Plymouth State University,"$14,321 ","$23,119 ","$10,369 ","$33,488 "
Point Park University,"$31,335 ",,"$12,438 ","$43,773 "
Pratt Institute,"$52,040 ",,"$12,501 ","$64,541 "
Prescott College,"$31,783 ",,"$9,695 ","$41,478 "
Princeton University,"$49,910 ",,"$16,234 ","$66,144 "
Providence College,"$50,575 ",,"$14,810 ","$65,385 "
"Purdue University, West Lafayette","$10,402 ","$29,956 ","$10,431 ","$40,387 "
Quinnipiac University,"$48,651 ",,"$14,758 ","$63,409 "
Ramapo College of New Jersey,"$14,643 ","$24,143 ","$12,147 ","$36,290 "
Randolph-Macon College,"$41,600 ",,"$12,449 ","$54,049 "
Reed College,"$56,368 ",,"$14,217 ","$70,585 "
Regis College,"$41,413 ",,"$15,330 ","$56,743 "
Rensselaer Polytechnic Institute,"$54,397 ",,"$15,558 ","$69,955 "
Rhode Island College,"$9,127 ","$22,141 ","$11,788 ","$33,929 "
Rhode Island School of Design,"$50,409 ",,"$13,572 ","$63,981 "
Rider University,"$42,962 ",,"$15,288 ","$58,250 "
Rivier University,"$32,022 ",,"$13,613 ","$45,635 "
Roanoke College,"$44,402 ",,"$13,788 ","$58,190 "
"Robert Morris University, PA","$30,545 ",,"$11,627 ","$42,172 "
Roberts Wesleyan College,"$32,173 ",,"$10,847 ","$43,020 "
Rochester Institute of Technology,"$41,671 ",,"$13,173 ","$54,844 "
Roger Williams University,"$34,669 ",,"$16,187 ","$50,856 "
Rollins College,"$50,268 ",,"$15,319 ","$65,587 "
Russell Sage College,"$29,499 ",,"$12,904 ","$42,403 "
"Rutgers University, Camden","$15,081 ","$31,121 ","$13,589 ","$44,710 "
"Rutgers University, New Brunswick","$15,222 ","$31,801 ","$13,501 ","$45,302 "
"Rutgers University, Newark","$15,222 ","$31,801 ","$14,198 ","$45,999 "
Sacred Heart University,"$41,413 ",,"$15,361 ","$56,774 "
Saint Anselm College,"$41,590 ",,"$14,712 ","$56,302 "
"Saint Joseph's College, ME","$35,994 ",,"$13,811 ","$49,805 "
"Saint Joseph's University, PA","$45,448 ",,"$15,099 ","$60,547 "
Saint Lawrence University,"$55,110 ",,"$14,202 ","$69,312 "
Saint Louis University,"$43,853 ",,"$11,309 ","$55,162 "
Saint Michael's College,"$45,386 ",,"$12,220 ","$57,606 "
Saint Peter's University,"$37,858 ",,"$15,947 ","$53,805 "
Salem State University,"$10,689 ","$17,374 ","$12,698 ","$30,072 "
Salve Regina University,"$40,545 ",,"$14,622 ","$55,167 "
Samford University,"$31,710 ",,"$10,691 ","$42,401 "
Santa Clara University,"$51,852 ",,"$15,066 ","$66,918 "
Sarah Lawrence College,"$56,170 ",,"$15,881 ","$72,051 "
Savannah College of Art and Design,"$37,346 ",,"$17,024 ","$54,370 "
School of the Art Institute of Chicago,"$49,036 ",,"$14,040 ","$63,076 "
School of the Museum of Fine Arts,"$56,491 ",,"$14,616 ","$71,107 "
"School of Visual Arts, NYC","$41,579 ",,"$20,800 ","$62,379 "
Seattle Pacific University,"$42,529 ",,"$11,681 ","$54,210 "
Seattle University,"$44,600 ",,"$12,555 ","$57,155 "
Seton Hall University,"$42,212 ",,"$15,723 ","$57,935 "
Shenandoah University,"$32,594 ",,"$10,587 ","$43,181 "
Siena College,"$37,911 ",,"$15,132 ","$53,043 "
Sierra Nevada College,"$33,945 ",,"$13,275 ","$47,220 "
Simmons College,"$41,184 ",,"$15,392 ","$56,576 "
Simon's Rock College of Bard,"$55,555 ",,"$15,061 ","$70,616 "
Skidmore College,"$54,544 ",,"$14,564 ","$69,108 "
Smith College,"$52,046 ",,"$17,399 ","$69,445 "
Southeastern University,"$52,046 ",,"$17,399 ","$69,445 "
Southern Adventist University,"$22,412 ",,"$6,968 ","$29,380 "
Southern Connecticut State University,"$10,958 ","$24,155 ","$12,929 ","$37,084 "
Southern New Hampshire University,"$33,841 ",,"$13,936 ","$47,777 "
Southern Vermont College,"$25,891 ",,"$11,440 ","$37,331 "
Spelman College,"$29,286 ",,"$13,999 ","$43,285 "
Springfield College,"$37,996 ",,"$12,730 ","$50,726 "
St. Bonaventure University,"$34,633 ",,"$12,279 ","$46,912 "
St. Edward's University,"$44,678 ","$44,678 ","$12,375 ","$57,053 "
"St. John's University, New York","$42,141 ",,"$17,299 ","$59,440 "
St. Joseph's College Brooklyn,"$27,612 ",,"$15,229 ","$42,841 "
"St. Joseph's University, PA","$45,635 ",,"$15,099 ","$60,734 "
St. Mary's College of Maryland,"$15,076 ","$31,146 ","$13,329 ","$44,475 "
St. Olaf College,"$45,947 ",,"$10,483 ","$56,430 "
Stanford University,"$51,602 ",,"$15,716 ","$67,318 "
Sterling College,"$25,984 ",,"$8,663 ","$34,647 "
Stetson University,"$46,270 ",,"$13,312 ","$59,582 "
Stevens Institute of Technology,"$52,754 ",,"$15,371 ","$68,125 "
Stonehill College,"$42,952 ",,"$16,286 ","$59,238 "
Suffolk University,"$38,761 ",,"$15,648 ","$54,409 "
SUNY Albany,"$9,870 ","$25,345 ","$14,003 ","$39,348 "
SUNY Cobleskill,"$8,465 ","$18,501 ","$13,709 ","$32,210 "
SUNY ESF,"$8,885 ","$18,921 ","$17,108 ","$36,029 "
"SUNY, Plattsburgh","$8,474 ","$18,510 ","$13,104 ","$31,614 "
"SUNY, Potsdam","$8,549 ","$18,585 ","$13,296 ","$31,881 "
"SUNY, Stony Brook","$9,628 ","$27,839 ","$13,984 ","$41,823 "
Susquehanna University,"$47,289 ",,"$12,574 ","$59,863 "
Swarthmore College,"$52,855 ",,"$15,550 ","$68,405 "
Sweet Briar College,"$21,000 ",,"$13,000 ","$34,000 "
Syracuse University,"$48,625 ",,"$16,180 ","$64,805 "
Taylor University,"$34,200 ",,"$9,615 ","$43,815 "
Temple University,"$17,324 ","$29,555 ","$15,681 ","$45,236 "
The New School,"$47,050 ",,"$18,287 ","$65,337 "
The University of the Arts,"$46,450 ",,"$16,338 ","$62,788 "
Thomas College,"$27,560 ",,"$10,962 ","$38,522 "
Tisch School of the Arts,"$57,641 ",,"$18,371 ","$76,012 "
"Touro College, NY","$20,769 ",,"$18,371 ","$39,140 "
Towson University,"$10,082 ","$23,026 ","$12,671 ","$35,697 "
Trinity College,"$56,961 ",,"$14,768 ","$71,729 "
Tufts University,"$56,491 ",,"$14,616 ","$71,107 "
Tulane University,"$55,078 ",,"$15,117 ","$70,195 "
Tuskegee University,"$22,308 ",,"$10,036 ","$32,344 "
Union College,"$69,273 ",,,"$69,273 "
Unity College,"$29,484 ",,"$10,816 ","$40,300 "
University of Alabama,"$12,043 ","$30,056 ","$13,753 ","$43,809 "
University of Arizona,"$14,560 ","$39,000 ","$12,792 ","$51,792 "
University of Bridgeport,"$31,356 ",,"$16,536 ","$47,892 "
"University of California, Davis","$14,957 ","$44,092 ","$16,781 ","$60,873 "
"University of California, Los Angeles","$13,790 ","$42,925 ","$15,749 ","$58,674 "
"University of California, San Diego","$14,612 ","$43,747 ","$13,839 ","$57,586 "
"University of California, Santa Barbara","$14,985 ","$44,120 ","$15,369 ","$59,489 "
University of Central Florida,"$6,192 ","$21,817 ","$10,155 ","$31,972 "
University of Chicago,"$57,018 ",,"$16,355 ","$73,373 "
University of Cincinati,"$11,440 ","$28,948 ","$11,859 ","$40,807 "
"University of Colorado, Boulder","$12,569 ","$37,669 ","$14,558 ","$52,227 "
University of Connecticut,"$15,434 ","$38,384 ","$13,015 ","$51,399 "
University of Connecticut Stamford,"$13,352 ","$36,302 ","$10,348 ","$46,650 "
University of Delaware,"$12,345 ","$33,134 ","$12,825 ","$45,959 "
University of Denver,"$50,616 ",,"$13,116 ","$63,732 "
University of Dubuque,"$30,898 ",,"$9,828 ","$40,726 "
University of Findlay,"$34,653 ",,"$10,109 ","$44,762 "
University of Florida,"$6,635 ","$29,804 ","$10,306 ","$40,110 "
University of Georgia,"$12,291 ","$31,608 ","$10,462 ","$42,070 "
University of Hartford,"$40,466 ",,"$12,840 ","$53,306 "
University of Iowa,"$9,558 ","$32,067 ","$10,868 ","$42,935 "
University of Kentucky,"$13,842 ","$28,482 ","$13,178 ","$41,660 "
University of Louisville,"$11,511 ","$27,134 ","$8,765 ","$35,899 "
University of Maine at Farmington,"$9,836 ","$19,787 ","$9,707 ","$29,494 "
University of Maine at Fort Kent,"$8,284 ","$12,558 ","$8,226 ","$20,784 "
University of Maine at Machias,"$7,987 ","$20,093 ","$8,825 ","$28,918 "
"University of Maine, Orono","$11,338 ","$31,493 ","$10,541 ","$42,034 "
"University of Maine, Presque Isle","$8,200 ","$12,475 ","$8,595 ","$21,070 "
University of Mary Washington,"$12,613 ","$28,469 ","$11,347 ","$39,816 "
"University of Maryland, Baltimore County","$11,979 ","$26,680 ","$12,309 ","$38,989 "
"University of Maryland, College Park","$10,814 ","$34,950 ","$12,484 ","$47,434 "
"University of Massachusetts, Amherst","$16,027 ","$34,816 ","$12,748 ","$47,564 "
"University of Massachusetts, Boston","$14,381 ","$34,303 ","$14,093 ","$48,396 "
"University of Massachusetts, Dartmouth","$14,114 ","$29,416 ","$13,453 ","$42,869 "
"University of Massachusetts, Lowell","$15,392 ","$33,140 ","$12,996 ","$46,136 "
University of Miami,"$50,423 ",,"$14,213 ","$64,636 "
"University of Michigan, Ann Arbor","$17,364 ","$52,840 ","$11,646 ","$64,486 "
University of Mississippi,"$8,622 ","$24,496 ","$10,922 ","$35,418 "
University of New England,"$37,981 ",,"$14,934 ","$52,915 "
University of New Hampshire,"$18,790 ","$33,942 ","$11,717 ","$45,659 "
"University of New Hampshire, Manchester","$15,444 ","$30,597 ","$11,324 ","$41,921 "
University of New Haven,"$39,697 ",,"$16,234 ","$55,931 "
"University of North Carolina, Chapel Hill","$9,254 ","$35,972 ","$12,018 ","$47,990 "
"University of North Carolina, Greensboro","$7,540 ","$23,305 ","$8,864 ","$32,169 "
"University of North Carolina, Wilmington","$7,330 ","$21,907 ","$10,910 ","$32,817 "
University of Notre Dame,"$53,565 ",,"$15,486 ","$69,051 "
University of Oregon,"$12,034 ","$35,995 ","$11,908 ","$47,903 "
University of Pennsylvania,"$55,675 ",,"$15,669 ","$71,344 "
University of Pittsburgh,"$19,843 ","$31,868 ","$12,045 ","$43,913 "
University of Redlands,"$49,995 ",,"$14,416 ","$64,411 "
"University of Rhode Island, Kingston","$14,344 ","$31,244 ","$12,950 ","$44,194 "
University of Richmond,"$52,946 ",,"$12,293 ","$65,239 "
University of Rochester,"$54,065 ",,"$15,952 ","$70,017 "
"University of Saint Joseph, CT","$39,493 ",,"$14,114 ","$53,607 "
"University of Saint Thomas, MN","$42,778 ",,"$10,758 ","$53,536 "
University of San Diego,"$49,616 ",,"$13,135 ","$62,751 "
University of San Francisco,"$48,100 ",,"$14,903 ","$63,003 "
University of Scranton,"$44,626 ",,"$15,714 ","$60,340 "
